normalised_date,timestamp,high,low,volume,weightedPrice,timestampINT
2019-04-20,1555761810.0660307,5314.376309611139,5312.1235730007265,2.6893394138517936,5313.194743326623,1555761810.0660307
2019-04-21,1555848847.3576643,5288.632934306562,5285.973467153274,3.3803205602335793,5287.273093444004,1555848847.3576643
2019-04-22,1555934489.550321,5319.456930763742,5316.329279086366,5.087160505203427,5317.854806459386,1555934489.550321
2019-04-23,1556021084.0,5535.192512280708,5530.8632210526275,7.110458365992994,5532.9746966897565,1556021084.0
2019-04-24,1556107316.3623395,5489.893559201144,5485.624686162626,7.5043064417047125,5487.736644192159,1556107316.3623395
2019-04-25,1556193776.3610718,5424.9805148095875,5420.869224259518,6.977387805810998,5422.8773982861085,1556193776.3610718
2019-04-26,1556279849.874477,5152.227566248261,5146.808312412826,10.483334574128309,5149.359096159837,1556279849.874477
2019-04-27,1556365956.2780595,5166.1482186821195,5163.879174511226,2.9263820082621272,5165.037288717595,1556365956.2780595
2019-04-28,1556453653.787425,5170.627200598806,5168.603016467062,2.9620167338098793,5169.575513691476,1556453653.787425
2019-04-29,1556539857.9799428,5156.23958452722,5152.946590257868,4.121500814570198,5154.81654336067,1556539857.9799428
2019-04-30,1556625841.2244897,5202.34286418016,5198.392821956369,3.557545978676986,5200.883942799437,1556625841.2244897
2019-05-01,1556712072.8418038,5305.659985683599,5302.618052970651,3.0130883418253402,5304.5212400299915,1556712072.8418038
2019-05-02,1556798780.397445,5363.6533995741775,5360.124371894979,4.193414991660753,5362.337862155496,1556798780.397445
2019-05-03,1556884953.286517,5621.606959269664,5615.464002808998,8.918952944220507,5618.7996954496475,1556884953.286517
2019-05-04,1556971193.1799164,5697.516896792194,5691.696666666667,5.945227132182715,5694.984820152449,1556971193.1799164
2019-05-05,1557057610.9013486,5724.166898509587,5719.529822569198,3.663989943136981,5722.166836310573,1557057610.9013486
2019-05-06,1557144020.6708596,5659.087603074785,5654.047952480774,4.770776293032847,5656.929467735292,1557144020.6708596
2019-05-07,1557230369.874652,5867.061323119774,5860.730396935933,7.480196281817543,5864.269775568949,1557230369.874652
2019-05-08,1557316898.5444367,5846.671322603217,5841.60898530441,4.422962593002101,5844.480875511197,1557316898.5444367
2019-05-09,1557403340.8094907,6049.91166085136,6044.6424214933695,6.3372231528750795,6047.488290597913,1557403340.8094907
2019-05-10,1557489586.97286,6294.024314544183,6287.159157967993,9.61845066589423,6290.828123699577,1557489586.97286
2019-05-11,1557575994.0375261,6813.095052119519,6799.790138985397,15.518718076921454,6806.48747059431,1557575994.0375261
2019-05-12,1557662354.196242,7164.416847599153,7145.828482950582,19.066259125977727,7154.9551372121105,1557662354.196242
2019-05-13,1557748859.4568245,7417.762047353769,7400.561469359326,19.010685751552906,7409.110545395556,1557748859.4568245
2019-05-14,1557835170.0,8002.677388888899,7982.166791666663,13.11211191636805,7992.089707485142,1557835170.0
2019-05-15,1557921570.0,8062.047534722231,8047.171576388887,11.536855024013887,8054.587950808817,1557921570.0
2019-05-16,1558007978.818624,8001.93081306462,7985.620159833223,11.868452925364823,7993.425148022656,1558007978.818624
2019-05-17,1558094370.0,7274.273777777794,7252.181465277772,18.963597013673652,7262.418007899218,1558094370.0
2019-05-18,1558180645.1882846,7330.963124128311,7320.920892608097,5.27538332627616,7325.731918952011,1558180645.1882846
2019-05-19,1558267172.5678496,7941.21117606124,7926.550911621417,10.852656542553937,7933.9268158052155,1558267172.5678496
2019-05-20,1558353556.8867269,7914.335601111893,7898.767102154281,9.330637601730363,7906.096424482967,1558353556.8867269
2019-05-21,1558439949.1376913,7958.5560639777395,7946.899116828937,5.22848099923504,7952.526758231092,1558439949.1376913
2019-05-22,1558526354.3849895,7896.142890896464,7885.11405142459,5.835178621938847,7890.29452589542,1558526354.3849895
2019-05-23,1558612750.9318497,7708.233240611962,7697.880646731575,5.8208318867732975,7702.740478159255,1558612750.9318497
2019-05-24,1558699170.0,7988.139354166672,7978.917166666657,6.499285980631935,7983.344116740006,1558699170.0
