"normalised_date","timestamp","high","low","volume","weightedprice","timestampint"
"2012-01-01",1325426980,4.80666666666667,4.80666666666667,7.20066666666667,4.80666666666667,1325426980
"2012-01-02",1325534640,5,5,19.048,5,1325534640
"2012-01-03",1325605425,5.2525,5.2525,11.004660115,5.2525,1325605425
"2012-01-04",1325681713.33333,5.22333333333333,5.2,11.9148066922222,5.20815931365556,1325681713.33333
"2012-01-05",1325771042.85714,6.28619047619048,6.28142857142857,4.51437282190476,6.28412715107619,1325771042.85714
"2012-01-06",1325865762.85714,6.445,6.435,2.42019619357143,6.43899904760714,1325865762.85714
"2012-01-07",1325960040,6.8,6.8,0.29585799,6.8,1325960040
"2012-01-08",1326048930,6.95,6.95,2.5,6.95,1326048930
"2012-01-09",1326119715,6.58416666666666,6.58166666666667,1.85748119166667,6.58276966666666,1326119715
"2012-01-10",1326204668,6.603,6.603,2.07633267266667,6.603,1326204668
"2012-01-11",1326281006.25,7.12187499999999,7.11958333333333,2.19497779208333,7.12068484233749,1326281006.25
"2012-01-12",1326375440,7.0625,7.0625,6.8584693175,7.0625,1326375440
"2012-01-13",1326470182.5,6.9840625,6.940625,1.53031702625,6.96923652441875,1326470182.5
"2012-01-14",1326531066,6.42,6.41,1.6836,6.41408119758,1326531066
"2012-01-15",1326623268,7.15,7.15,3.33986014,7.15,1326623268
"2012-01-16",1326733037.14286,6.71428571428572,6.71428571428572,1.80704225285714,6.71428571428572,1326733037.14286
"2012-01-17",1326834647.5,6.15416666666667,6.14166666666667,3.35475034333333,6.1483461580375,1326834647.5
"2012-01-18",1326864931.66667,6.24694444444444,6.23694444444444,3.70685469777778,6.24068843893611,1326864931.66667
"2012-01-19",1326989815.71429,6.22571428571429,6.22571428571429,17.6225584964286,6.22571428571429,1326989815.71429
"2012-01-20",1327061142,6.835,6.835,9.582599863,6.835,1327061142
"2012-01-21",1327178784,6.386,6.386,16.282770482,6.386,1327178784
"2012-01-22",1327237425,6.485,6.485,10.15887912875,6.485,1327237425
"2012-01-23",1327331060,6.4075,6.4075,7.91005242416667,6.4075,1327331060
"2012-01-24",1327410833.33333,6.49555555555555,6.49555555555555,4.747013415,6.49555555555555,1327410833.33333
"2012-01-25",1327509108.33333,6.28444444444445,6.28194444444444,2.25342378888889,6.28366379778611,1327509108.33333
"2012-01-26",1327596873.75,6.185,6.175,1.86994191125,6.184091794075,1327596873.75
"2012-01-27",1327668831.42857,5.65142857142857,5.65142857142857,3.28857117392857,5.65142857142857,1327668831.42857
